,date,deaths,date_clean,adjusted_approve,adjusted_disapprove,approve,disapprove,Day,Rolling Approval
148,2020-06-17,117746,2020-06-17,41.1219006,55.1658556,43.0,54.0,2020-06-17,43.0
149,2020-06-18,118473,2020-06-18,41.004294200000004,55.252509999999994,42.9,54.7,2020-06-18,42.9
150,2020-06-19,119171,2020-06-19,38.694650599999996,58.3114758,39.0,57.2,2020-06-19,39.0
151,2020-06-20,119717,2020-06-20,40.789598999999995,55.1715373,40.3,55.5,2020-06-20,40.3
152,2020-06-21,119974,2020-06-21,38.861855142857145,56.64742114285715,40.714285714285715,56.0,2020-06-21,40.714285714285715
153,2020-06-22,120334,2020-06-22,40.69450274999999,55.09754175,41.0625,55.125,2020-06-22,41.0625
154,2020-06-23,121167,2020-06-23,41.41931326666666,54.13329053333333,42.6,53.53333333333333,2020-06-23,42.6
155,2020-06-24,121934,2020-06-24,40.325582363636364,55.79372027272727,40.72727272727273,54.72727272727273,2020-06-24,40.72727272727273
156,2020-06-25,124400,2020-06-25,40.65092114285714,55.600323714285715,41.857142857142854,54.142857142857146,2020-06-25,41.857142857142854
157,2020-06-26,125033,2020-06-26,41.370872799999994,54.7032468,41.8,54.4,2020-06-26,41.8
158,2020-06-27,125544,2020-06-27,42.647045875,55.080673624999996,42.725,55.650000000000006,2020-06-27,42.725
159,2020-06-28,125814,2020-06-28,39.3035093076923,57.26209561538462,40.46153846153846,57.0,2020-06-28,40.46153846153846
160,2020-06-29,126161,2020-06-29,39.51389407692307,57.530220384615376,40.66153846153846,56.8,2020-06-29,40.66153846153846
161,2020-06-30,127461,2020-06-30,40.54543047619047,55.36551585714286,40.666666666666664,55.285714285714285,2020-06-30,40.666666666666664
162,2020-07-01,128103,2020-07-01,40.875259799999995,54.800050399999996,41.7,53.4,2020-07-01,41.7
163,2020-07-02,128826,2020-07-02,41.59276985714286,54.20970057142857,43.0,53.42857142857143,2020-07-02,43.0
164,2020-07-03,129415,2020-07-03,37.626753,58.893168,38.333333333333336,58.333333333333336,2020-07-03,38.333333333333336
165,2020-07-04,129679,2020-07-04,41.286249600000005,55.60844519999999,41.4,55.0,2020-07-04,41.4
166,2020-07-05,129941,2020-07-05,41.147412749999994,53.621345250000005,45.0,53.5,2020-07-05,45.0
167,2020-07-06,130332,2020-07-06,41.45470936363636,55.58415945454545,42.27272727272727,54.36363636363637,2020-07-06,42.27272727272727
168,2020-07-07,131289,2020-07-07,40.76233581818181,55.099056545454545,41.45454545454545,54.63636363636363,2020-07-07,41.45454545454545
169,2020-07-08,132237,2020-07-08,40.02067085714286,55.66148928571429,41.42857142857143,54.714285714285715,2020-07-08,41.42857142857143
170,2020-07-09,133079,2020-07-09,40.01408444444444,55.02950044444444,41.111111111111114,53.44444444444444,2020-07-09,41.111111111111114
171,2020-07-10,133907,2020-07-10,42.149865999999996,54.56291120000001,43.6,54.2,2020-07-10,43.6
172,2020-07-11,134582,2020-07-11,43.617549000000004,52.621994,44.0,53.0,2020-07-11,44.0
173,2020-07-12,134977,2020-07-12,39.979799,56.47783736363636,41.31818181818182,56.04545454545455,2020-07-12,41.31818181818182
174,2020-07-13,135402,2020-07-13,40.762214444444446,55.90941733333333,41.111111111111114,56.111111111111114,2020-07-13,41.111111111111114
175,2020-07-14,136356,2020-07-14,40.948664538461536,54.88173923076923,41.46153846153846,54.15384615384615,2020-07-14,41.46153846153846
176,2020-07-15,137327,2020-07-15,40.9219006,54.9658556,42.8,53.8,2020-07-15,42.8
177,2020-07-16,138284,2020-07-16,41.1219006,54.5658556,43.0,53.4,2020-07-16,43.0
